TIME PERIOD;MEDIA;SECTOR;CATEGORY;SUBCATEGORY;PARENT SITE;PROPERTY;SITE CATEGORY;MASTER BRAND;PRODUCT;AD TYPE;TRANSACTION TYPE;DIRECT/INDIRECT;R$;UNITS;IMPRESSIONS;SEC
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;FINANCAS BRASIL;FINANCAS BRASIL;ECONOMIA E FINANCA;ESKALA;ESKALA / MODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;0;1;2;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GAME VICIO;GAME VICIO;GEEK;ESKALA;ESKALA / MODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;3;1;246;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM G1;ATUALIDADE;AGUA DE SAL;AGUA DE SAL / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;87;3;21.666;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;HUGO GLOSS;HUGO GLOSS;TV E CELEBRIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;7;1;3.733;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;LANCE;LANCE;ESPORTE;AGUA DE COCO;AGUA DE COCO / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;1;1;191;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;NOTICIAS DA TV;NOTICIAS DA TV;TV E CELEBRIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;14;1;4.407;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;PENSANDO DIREITA;PENSANDO DIREITA;OUTROS;ESKALA;ESKALA / MODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;0;1;42;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TRIBUNA DA BAHIA;TRIBUNA DA BAHIA;ATUALIDADE;ESKALA;ESKALA / MODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;0;1;13;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL ECONOMIA;ECONOMIA E FINANCA;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;135;2;6.490;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL NOSSA;CULINARIO;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;1;1;174;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL NOTICIAS;ATUALIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;140;14;50.066;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL NOTICIAS;ATUALIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Programmatic Direct;Direct;52;1;3.712;0
